year,est,lwr,upr,log_est,se,type,prey_group,scenario
1995,0.010147635841105743,0.009138544692846112,0.011268152274213307,-4.590514522683444,0.053439557213163166,index,Other,all_1
1996,0.009952738118244884,0.009044432089070872,0.010952262682149317,-4.609907577905538,0.048826596934106174,index,Other,all_1
1997,0.010146524672091106,0.009299729960349121,0.011070424986564726,-4.590624028963837,0.04446300416214441,index,Other,all_1
1998,0.01044193150798091,0.009662849918065784,0.01128382770527288,-4.561925703296948,0.03956243533498549,index,Other,all_1
1999,0.010820095513418842,0.0100664167798663,0.011630202631155266,-4.526350178114885,0.03683755886548651,index,Other,all_1
2000,0.010800029933124776,0.010074573347054265,0.011577725680114887,-4.5282063732701765,0.035477257241102504,index,Other,all_1
2001,0.010620784612761829,0.00991474377150771,0.011377103472390095,-4.544942385223015,0.03509757075867806,index,Other,all_1
2002,0.010020120472596468,0.0093373029547089,0.01075287101343463,-4.603160160184476,0.036009677572025944,index,Other,all_1
2003,0.009503147206893896,0.008833533565107602,0.010223519973096428,-4.65613225030218,0.03728023445385721,index,Other,all_1
2004,0.00904266999837672,0.008410512895350426,0.009722341754537607,-4.7058007943836655,0.03697620296974209,index,Other,all_1
2005,0.008674359180335467,0.00809401111911578,0.009296318732718788,-4.7473838255796785,0.03533076819166365,index,Other,all_1
2006,0.008632295374884117,0.008092998202088579,0.009207529963371923,-4.752244833019981,0.032914470936115145,index,Other,all_1
2007,0.008302452206711103,0.007814741278554057,0.008820600732347745,-4.7912043612236355,0.03088784317560615,index,Other,all_1
2008,0.008005071083348723,0.007534218323324512,0.008505349898221392,-4.8276800527042125,0.030929210688709432,index,Other,all_1
2009,0.007632545178130716,0.0071656264207102215,0.00812988878792713,-4.875333914194153,0.03220767317886832,index,Other,all_1
2010,0.007220980359854684,0.006763673973068153,0.007709206204354356,-4.930764551381812,0.03338045931297687,index,Other,all_1
2011,0.006919609120826546,0.006487649193003878,0.007380329755909061,-4.973395996377611,0.03288786829277151,index,Other,all_1
2012,0.006754111022843893,0.006350475275387208,0.007183401829104814,-4.997603919066229,0.03144022225947099,index,Other,all_1
2013,0.0066686954246395255,0.006290314884665318,0.007069836642839906,-5.010331026694348,0.02980316073874549,index,Other,all_1
2014,0.006593571637132176,0.006214175364073029,0.006996131326667042,-5.021660098964413,0.030236345723190353,index,Other,all_1
2015,0.006358351072974426,0.0059749410825042865,0.006766364355554468,-5.057986200500746,0.031732645023968296,index,Other,all_1
2016,0.006005278309729755,0.005614248061349886,0.006423543666618751,-5.115116478191133,0.034353252485495714,index,Other,all_1
2017,0.005435767238824403,0.005043544828298069,0.005858491691972813,-5.21475460207495,0.038210652692363956,index,Other,all_1
2018,0.0050039853809244654,0.004616277731560221,0.0054242554604795705,-5.297520607859664,0.04114666249669642,index,Other,all_1
